Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Unnamed: 20_level_0
Season,Age,Lg,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,WS/48
2022-23,33,NBA,6.6,13.3,1.5,4.3,1.6,2.2,2.5,9.9,2.3,0.5,1.4,1.9,3.7,16.3,0.496,0.36,0.751,0.125
